age_range,industry,job_title,annual_salary,currency,country,current_years_experience,education,gender
35-44,Agriculture,Other,17000,USD,United States,5-7 years,Master's degree,Prefer not to answer
25-34,Government,Analyst (General),64000,USD,United States,1 year or less,College degree,Woman
55-64,Engineering/Manufacturing,Manager (General),66000,USD,United States,21 - 30 years,College degree,Woman
45-54,Engineering/Manufacturing,Manager (General),80000,USD,United States,11 - 20 years,College degree,Woman
25-34,Government,Analyst (General),78000,USD,United States,2 - 4 years,Master's degree,Woman
18-24,Legal,Lawyer/Attorney,65000,USD,United States,2 - 4 years,Master's degree,Woman
65 or over,Health,Nurse,110000,USD,United States,31 - 40 years,Master's degree,Woman
35-44,Finance,Bookkeeper,114400,USD,United States,11 - 20 years,College degree,Woman
25-34,Other,Recruiter,111500,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Education,Director,58300,USD,United States,2 - 4 years,College degree,Woman
25-34,Nonprofit,Director,700000,USD,United States,5-7 years,College degree,Woman
35-44,Information Technology,Software Engineer,156000,USD,United States,21 - 30 years,Master's degree,Prefer not to answer
45-54,Information Technology,Other,130000,USD,United States,8 - 10 years,College degree,Woman
25-34,Other,Librarian,75000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Education,Librarian,39000,GBP,United Kingdom,8 - 10 years,Master's degree,Woman
35-44,Information Technology,Manager (General),126000,USD,United States,11 - 20 years,College degree,Woman
45-54,Engineering/Manufacturing,Manager (General),125000,USD,United States,21 - 30 years,College degree,Man
25-34,Nonprofit,Project Manager,87000,CAD,Canada,2 - 4 years,PhD,Woman
35-44,Education,Other,38480,USD,United States,5-7 years,College degree,Woman
35-44,Nonprofit,Other,36000,USD,United States,2 - 4 years,Master's degree,Man
25-34,Nonprofit,Coordinator,55000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Marketing,Sales Representative,53500,USD,United States,8 - 10 years,College degree,Woman
25-34,Government,Librarian,49600,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Nonprofit,Director,50000,USD,United States,5-7 years,College degree,Woman
25-34,Finance,Manager (General),57750,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Other,Social Worker,62000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Nonprofit,Analyst (General),65000,USD,United States,5-7 years,College degree,Woman
25-34,Health,Receptionist,43680,USD,United States,2 - 4 years,College degree,Woman
25-34,Transportation,Analyst (General),103000,USD,United States,5-7 years,College degree,Woman
45-54,Education,Teacher (K-12),51000,GBP,United Kingdom,21 - 30 years,College degree,Woman
