age_range,industry,job_title,annual_salary,currency,country,current_years_experience,education,gender
25-34,Nonprofit,Marketing Manager,65000,USD,United States,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,Other,25000,GBP,United Kingdom,2 - 4 years,Master's degree,Woman
25-34,Government,Other,93000,CAD,Canada,8 - 10 years,College degree,Woman
35-44,Education,Teacher (K-12),75000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Manager (General),34500,GBP,United Kingdom,11 - 20 years,College degree,Woman
18-24,Marketing,Other,72500,USD,United States,1 year or less,College degree,Woman
35-44,Agriculture,Other,86000,USD,United States,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,Other,75000,USD,United States,11 - 20 years,College degree,Woman
25-34,Media/Entertainment,Writer/Editor,38000,USD,United States,8 - 10 years,College degree,Woman
25-34,Other,Social Worker,63000,USD,United States,5-7 years,Master's degree,Woman
35-44,Other,Librarian,39000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Education,Manager (General),105000,USD,United States,11 - 20 years,College degree,Woman
45-54,Engineering/Manufacturing,Coordinator,53000,USD,United States,8 - 10 years,High School,Woman
35-44,Information Technology,UX/UI Designer,179000,USD,United States,8 - 10 years,PhD,Woman
35-44,Marketing,Content/Copywriter,77000,USD,United States,5-7 years,College degree,Woman
35-44,Media/Entertainment,Writer/Editor,55000,USD,United States,11 - 20 years,College degree,Woman
25-34,Information Technology,Other,64200,USD,United States,2 - 4 years,Master's degree,Prefer not to answer
55-64,Health,Manager (General),43500,USD,United States,11 - 20 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),92000,USD,United States,5-7 years,College degree,Woman
55-64,Government,Other,170000,USD,United States,21 - 30 years,Master's degree,Woman
45-54,,Manager (General),87938,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Pharmacist,125000,USD,United States,5-7 years,PhD,Woman
25-34,Information Technology,Other,60000,CAD,Canada,1 year or less,College degree,Woman
55-64,Finance,IT/Systems,186000,USD,United States,31 - 40 years,College degree,Man
35-44,Other,Administrative Assistant,49000,CAD,Canada,11 - 20 years,Some college,Woman
25-34,Media/Entertainment,Writer/Editor,51000,USD,United States,5-7 years,College degree,Woman
25-34,Finance,Accountant,61800,USD,United States,5-7 years,College degree,Man
25-34,Finance,Other,155000,USD,United States,8 - 10 years,College degree,Woman
35-44,Arts/Design,Coordinator,40000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Analyst (General),71750,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Manager (General),70000,USD,United States,2 - 4 years,Master's degree,Man
35-44,Business/Consulting,Consultant,87000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Information Technology,Project Manager,157000,USD,United States,21 - 30 years,College degree,Woman
35-44,Government,Other,65000,USD,United States,5-7 years,College degree,Woman
25-34,Nonprofit,Other,42120,USD,United States,2 - 4 years,College degree,Woman
25-34,Business/Consulting,Other,65000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Nonprofit,Manager (General),85000,USD,United States,8 - 10 years,College degree,Man
35-44,Information Technology,Project Manager,86000,USD,United States,8 - 10 years,College degree,Woman
35-44,Information Technology,Analyst (General),85000,USD,United States,11 - 20 years,College degree,Woman
45-54,Education,Teacher (K-12),94000,USD,United States,21 - 30 years,PhD,Woman
45-54,Information Technology,Project Manager,104000,USD,United States,21 - 30 years,Master's degree,Woman
45-54,Information Technology,Manager (General),88000,USD,United States,8 - 10 years,College degree,Woman
35-44,Government,Other,52000,USD,United States,8 - 10 years,Some college,Woman
25-34,Information Technology,Analyst (General),65000,USD,United States,8 - 10 years,College degree,Woman
45-54,Information Technology,Manager (General),175000,USD,United States,11 - 20 years,College degree,Man
25-34,Business/Consulting,Consultant,134000,USD,United States,5-7 years,Master's degree,Woman
35-44,Health,Controller,98500,USD,United States,21 - 30 years,College degree,Woman
35-44,Health,Other,43000,USD,United States,5-7 years,Some college,Woman
45-54,Nonprofit,Other,36712,USD,United States,5-7 years,Some college,Woman
35-44,Information Technology,Software Engineer,112000,USD,United States,8 - 10 years,College degree,Woman
25-34,Other,Manager (General),85000,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Other,60000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Legal,Other,50000,USD,United States,2 - 4 years,High School,Woman
18-24,Government,Other,52000,USD,United States,1 year or less,College degree,Woman
25-34,Government,Team Lead,57000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Finance,Auditor,51000,USD,United States,5-7 years,College degree,Woman
25-34,Finance,Other,54000,USD,United States,2 - 4 years,College degree,Woman
25-34,Education,Director,56000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Education,Professor/Faculty,56000,USD,United States,5-7 years,PhD,Woman
18-24,Nonprofit,Coordinator,39000,USD,United States,2 - 4 years,College degree,Woman
25-34,Finance,Coordinator,40000,USD,United States,2 - 4 years,College degree,Woman
25-34,Legal,Paralegal,71500,CAD,Canada,5-7 years,College degree,Woman
45-54,Information Technology,Director,68000,USD,United States,8 - 10 years,College degree,Woman
35-44,Finance,Manager (General),65000,USD,United States,11 - 20 years,Some college,Woman
25-34,Education,Project Manager,67000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Government,Analyst (General),126000,USD,United States,8 - 10 years,College degree,Woman
25-34,Business/Consulting,Analyst (General),75000,USD,United States,5-7 years,Master's degree,Woman
35-44,Business/Consulting,Other,50000,USD,United States,5-7 years,Master's degree,Woman
45-54,Health,Pharmacist,146000,USD,United States,11 - 20 years,PhD,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),100000,USD,United States,8 - 10 years,PhD,Woman
35-44,Engineering/Manufacturing,Project Manager,52000,USD,United States,5-7 years,High School,Woman
25-34,Finance,Other,135000,USD,United States,2 - 4 years,College degree,Woman
25-34,Information Technology,Project Manager,131000,USD,United States,5-7 years,College degree,Woman
45-54,Media/Entertainment,Manager (General),64000,USD,United States,5-7 years,Master's degree,Woman
25-34,Business/Consulting,Other,61800,USD,United States,5-7 years,College degree,Woman
18-24,Legal,Other,49000,USD,United States,2 - 4 years,College degree,Woman
35-44,Engineering/Manufacturing,Customer Service,38800,USD,United States,2 - 4 years,College degree,Woman
35-44,Other,Other,31000,EUR,Ireland,11 - 20 years,Some college,Woman
25-34,Nonprofit,Other,50000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Information Technology,Marketing Manager,70000,USD,United States,5-7 years,College degree,Woman
45-54,Government,Other,126000,USD,United States,21 - 30 years,Master's degree,Woman
45-54,Government,Other,54000,CAD,Canada,5-7 years,College degree,Woman
25-34,Government,Other,107000,USD,United States,5-7 years,Master's degree,Woman
25-34,Retail/Sales,Manager (General),31500,USD,United States,2 - 4 years,College degree,Woman
25-34,Other,Manager (General),80000,USD,United States,5-7 years,College degree,Woman
45-54,Legal,Other,600000,USD,United States,21 - 30 years,PhD,Woman
35-44,Government,Other,85000,CAD,Canada,2 - 4 years,Master's degree,Woman
25-34,Business/Consulting,Consultant,105000,USD,United States,5-7 years,Master's degree,Man
35-44,Legal,Other,120000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Education,Analyst (General),82000,USD,United States,11 - 20 years,College degree,Man
35-44,Other,Manager (General),90000,USD,Other,11 - 20 years,College degree,Woman
35-44,Information Technology,Other,65000,USD,United States,8 - 10 years,College degree,Woman
45-54,Information Technology,Other,80000,USD,United States,2 - 4 years,College degree,Woman
35-44,Energy,Team Lead,60000,USD,United States,2 - 4 years,College degree,Woman
25-34,Information Technology,Manager (General),180000,USD,United States,8 - 10 years,College degree,Woman
35-44,Information Technology,Other,157029,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Information Technology,Software Engineer,120000,USD,United States,2 - 4 years,Some college,Woman
25-34,Finance,Manager (General),82000,USD,United States,8 - 10 years,College degree,Woman
35-44,Engineering/Manufacturing,Manager (General),83500,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Information Technology,Director,85000,GBP,United Kingdom,5-7 years,College degree,Woman
25-34,Nonprofit,Other,44500,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Supervisor,58240,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Nonprofit,Director,107500,USD,United States,11 - 20 years,College degree,Woman
45-54,Government,Director,155000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Manager (General),82400,USD,United States,5-7 years,College degree,Woman
25-34,Energy,IT/Systems,65000,USD,United States,5-7 years,College degree,Woman
25-34,Marketing,Other,82500,USD,United States,5-7 years,College degree,Woman
25-34,Education,Manager (General),34000,USD,United States,5-7 years,College degree,Prefer not to answer
25-34,Information Technology,Customer Service,45000,USD,United States,2 - 4 years,College degree,Woman
35-44,Marketing,Manager (General),140000,USD,United States,21 - 30 years,Some college,Woman
25-34,Government,Analyst (General),55000,CAD,Canada,1 year or less,College degree,Woman
25-34,Information Technology,Product Manager,201000,USD,United States,5-7 years,Master's degree,Man
35-44,Information Technology,Manager (General),210000,USD,United States,11 - 20 years,Some college,Man
25-34,Information Technology,Manager (General),115000,USD,United States,5-7 years,College degree,Woman
25-34,Information Technology,Software Engineer,80000,USD,United States,1 year or less,Some college,Prefer not to answer
25-34,Education,Librarian,58800,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Government,Other,101360,USD,United States,5-7 years,Master's degree,Woman
35-44,Government,IT/Systems,103000,USD,United States,11 - 20 years,College degree,Man
35-44,Information Technology,Director,170000,USD,United States,11 - 20 years,College degree,Woman
45-54,Education,Librarian,112000,CAD,Canada,11 - 20 years,Master's degree,Woman
25-34,Nonprofit,Writer/Editor,80000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Government,Other,66805,USD,United States,8 - 10 years,PhD,Woman
35-44,Other,Recruiter,90000,USD,United States,5-7 years,Master's degree,Woman
35-44,Business/Consulting,Director,117000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Other,Therapist/Counselor,45000,USD,United States,1 year or less,Master's degree,Woman
35-44,Education,Librarian,54000,USD,United States,1 year or less,Master's degree,Woman
25-34,Nonprofit,Librarian,33280,USD,United States,5-7 years,Master's degree,Woman
25-34,Arts/Design,Coordinator,36000,USD,United States,5-7 years,Master's degree,Woman
25-34,Other,Other,58000,USD,United States,11 - 20 years,College degree,Woman
35-44,Health,Physician,134800,AUD/NZD,Australia,2 - 4 years,PhD,Woman
25-34,Health,Team Lead,38600,GBP,United Kingdom,8 - 10 years,College degree,Woman
35-44,Engineering/Manufacturing,Project Manager,165000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Finance,Analyst (General),102000,USD,United States,21 - 30 years,Master's degree,Woman
55-64,Other,Analyst (General),90000,CAD,Canada,21 - 30 years,College degree,Man
55-64,Engineering/Manufacturing,Engineer (Non-software),136000,USD,United States,8 - 10 years,Some college,Man
35-44,Nonprofit,Director,110000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Manager (General),72100,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Manager (General),75000,USD,United States,21 - 30 years,College degree,Woman
25-34,Education,Other,37024,USD,United States,2 - 4 years,PhD,Prefer not to answer
25-34,Other,Other,55000,USD,United States,2 - 4 years,College degree,Woman
35-44,Media/Entertainment,Manager (General),100000,CAD,Canada,21 - 30 years,College degree,Man
35-44,Business/Consulting,Director,78000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Media/Entertainment,Coordinator,50000,USD,United States,5-7 years,College degree,Woman
45-54,Health,HR Generalist/Manager,145000,USD,United States,21 - 30 years,College degree,Woman
55-64,Engineering/Manufacturing,Controller,100000,USD,United States,21 - 30 years,College degree,Woman
25-34,Business/Consulting,Analyst (General),64800,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Education,Analyst (General),70600,USD,United States,5-7 years,PhD,Woman
25-34,Agriculture,Other,82000,CAD,Canada,5-7 years,Master's degree,Woman
45-54,Engineering/Manufacturing,Executive Assistant,65000,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Manager (General),75000,USD,United States,5-7 years,College degree,Prefer not to answer
35-44,Retail/Sales,Other,75000,USD,United States,11 - 20 years,College degree,Woman
35-44,Media/Entertainment,Other,40000,USD,United States,11 - 20 years,College degree,Woman
25-34,Media/Entertainment,Analyst (General),44290,GBP,United Kingdom,5-7 years,Master's degree,Woman
35-44,Retail/Sales,Manager (General),47840,USD,United States,1 year or less,College degree,Woman
35-44,Nonprofit,Director,92000,USD,Other,8 - 10 years,Master's degree,Woman
55-64,Government,Librarian,165000,USD,United States,31 - 40 years,Master's degree,Woman
55-64,Legal,Other,39917,USD,United States,21 - 30 years,Master's degree,Woman
35-44,Education,Teacher (K-12),53000,USD,United States,11 - 20 years,College degree,Woman
25-34,Nonprofit,Other,59400,USD,United States,2 - 4 years,Master's degree,Woman
18-24,Engineering/Manufacturing,Engineer (Non-software),54075,USD,United States,1 year or less,College degree,Man
25-34,Government,Analyst (General),53895,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Health,Other,76000,USD,United States,11 - 20 years,Some college,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),67080,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Information Technology,Other,92000,CAD,Canada,11 - 20 years,College degree,Man
45-54,Other,Manager (General),115000,USD,United States,11 - 20 years,Some college,Woman
25-34,Education,Director,72000,USD,United States,8 - 10 years,Master's degree,Woman
